hobby,cluster
Reading contemporary literature and art theory,-1
Photography with smartphone,76
Car show attendance,-1
Attending local rodeos,98
Hiking in the Flint Hills,71
Classic Car Restoration,60
Drone piloting for aerial surveys,-1
Tailgating at Tennessee Volunteers football games,97
Digital storytelling,48
Walking along the Rio Grande,79
Exploring Reno’s culinary scene,-1
Rock climbing,-1
Collecting vintage advertising posters,61
"Pretend play (doctor, teacher, builder roles)",59
Cooking New England dishes such as clam chowder and apple crisp,20
bingo,36
Tide‑pool exploration,17
Watching classic Mexican cinema,13
Hiking in the Cordillera Central,71
Hiking in Orange County trails,71
building toys,84
Antique shopping,62
animation tutorials,26
coloring books,-1
Cycling around Portland,70
ukulele basics,-1
Beachcombing and marine life observation,-1
Woodworking in his garage workshop,15
DIY farm equipment projects,58
Cycling on Davis bike trails,80
Analog film photography and darkroom development,-1
Watching football games (Chiefs) and classic country music,52
Running club organization,10
Ultimate frisbee,-1
Hiking (Mount Monadnock),71
Running in the Texas Hill Country,-1
Participating in temple events,102
Volunteering for community ride‑share programs,-1
Building custom computers,35
Snowshoeing and winter hiking,-1
Cycling club rides,80
Family reunions,-1
"Participating in language‑exchange meetups (Uzbek, Russian, Spanish)",102
Organizing spaces,34
Card games at local barbershop,-1
Improv storytelling,48
4‑H robotics projects,19
Low‑waste cooking,-1
Baking with grandmother,22
Open‑source contributions,-1
Scrabble league,-1
Collecting stickers,61
Attending public lectures on innovation and culture,91
Women’s bowling league,1
tennis,-1
Self-Defense Workshops,-1
Cycling along the Delaware Canal towpath,79
Attending classic car shows,60
reading picture books about construction and trains,37
Furniture upcycling,-1
Rose Care,-1
Investing and personal finance,-1
tinkering with vintage radios,63
Participating in Powwow Drumming,-1
Hiking in North Carolina Trails,71
Trail hiking in Central Florida nature preserves,71
Attending Patron Saint Festivals,-1
Watching classic films,13
Traveling to historic sites in New York,89
Visiting blues museums and historic sites,-1
Reading whimsical books,37
School Clean-up Days,7
Learning New Software,-1
creating Dia de los Muertos altars,-1
Socializing at cafés and group outings,-1
Grand Rapids Griffins hockey fan,-1
Volunteer bike safety program,-1
Pretend rescue play,59
Python programming and data analysis,-1
Open‑mic storytelling,48
Skateboarding,-1
Imaginary play and storytelling,-1
Surfing at Santa Monica,-1
Cooking traditional Honduran dishes,20
Attending cultural lectures on Puerto Rican history,-1
Photography of Oregon landscapes,74
lightweight photography,-1
DJing at local events,-1
quiet time with stuffed animal,59
Senior‑friendly hiking,-1
Traveling to Colombia to visit family,92
reading (history and agriculture),86
"participating in structured group games (e.g., Simon Says)",102
sketching car designs,27
photographing dishes,76
Reading automotive repair guides,32
solitary play,-1
pretend play with stuffed animals,59
"Local pilot association involvement (fly‑ins, aircraft‑restoration events)",-1
participating in group cuddle sessions,102
Walking the Boston Harborwalk,70
Koto practice,-1
Exploring local craft breweries,64
Crocheting for church fundraisers,-1
Cycling on local greenways,80
TikTok content creation,8
Being rocked in a familiar routine,-1
Hiking in the Wichita Mountains,71
student council,-1
Attending spontaneous neighborhood picnics,25
mate drinking,-1
Hiking in the Verde Valley,71
Pretend‑play as a scientist,59
Participating in South Asian student association events,102
Traveling to visit family in Gujarat,92
Attending Philadelphia Eagles games,97
Track and field (middle-distance running),29
Family photo album preservation,-1
Attending local car and truck shows,60
Church women’s group,-1
Debating philosophy and culture,11
Walking in Fairmount Park,68
Hiking in Sipsey Wilderness,71
Arduino and 3D‑printing projects,-1
Science‑Fiction Film Marathons,-1
Running in Prospect Park and training for 5K races,29
Blogging about sustainable farming,83
interactive educational apps,-1
Evening park runs,-1
Pet care,-1
Walking in Boise River Greenbelt,68
Using wellness mobile apps,-1
Experimenting with home fermentation and preservation,-1
Playing mahjong with a social club,-1
Puzzle apps,36
Parent‑guided storytime,42
Hiking the Boise foothills,71
Digital audio mixing,-1
Japanese language study,4
bicycle touring,73
"Crafting (handmade story cards, soft toys, classroom decorations)",-1
pretend cooking with toy kitchen,59
brunches with friends,-1
Cantonese cooking club (bi‑weekly),20
Gardening microgreens on his balcony,44
Visiting grandchildren,-1
Playing mandolin in a local bluegrass group,-1
Hiking in Great Falls Park,71
Mentoring high‑school students in design,96
Practicing basic guitar chords,28
Experimenting with spice blends,-1
Vintage Arcade Machine Collecting,40
Attending tech and legal innovation meetups,75
Bike rides with spouse,-1
Watching Bollywood movies,-1
Building model steam locomotives,-1
Hiking (Morton Arboretum Trails),71
sorting colorful LEGO bricks,85
Debate club gatherings,-1
Collecting Vintage Cameras,61
Basketball (point guard),52
recipe journaling,-1
playing memory matching games,-1
Reading Multicultural Children’s Literature,-1
Attending Steelers games,97
Truck engine tinkering,63
flea market exploring,62
Reading aviation history and technical journals,-1
Playing harmonica,-1
Candle making,-1
PC building and hardware modding,-1
Fishing in Biscayne Bay,49
Exploring surveillance technology,-1
Maker‑space tinkering,63
Jogging for Stress Relief,-1
Simple sorting activities,-1
Yoga for resilience,-1
Historical photograph cataloging for the local library,-1
Organizing class events,34
Playing badminton,12
Cooing and responsive crying,18
Watching tech tutorials on YouTube,-1
playing catch,55
"School talent show performances (singing, storytelling)",-1
Solitary puzzle solving,-1
Pickup hockey,-1
Golfing,1
Attending car swap meets,60
informal health talks,-1
Language Exchange (Spanish‑English),94
Maintaining a detailed meal‑prep journal,-1
Weightlifting at the gym,-1
Inventing make‑believe stories,-1
Toastmasters/public speaking,-1
Playing acoustic guitar at open‑mic nights,-1
Attending forensic science workshops,-1
Women-in-mining network participation,-1
Recreational Hockey,-1
Modernist music listening,-1
Industry Webinars and Reading,87
Reading about world cultures,66
Boy Scouts activities,-1
Volunteering at community eye‑screening events,81
listening to Vietnamese music,31
Mentoring junior security enthusiasts,96
Hiking in Hillsborough County Parks,71
singing repetitive songs,30
organizing talent shows,34
listening to music while creating art,31
Exploring microbreweries on spontaneous weekend outings,64
Roblox,-1
Fashion blogging on Instagram,67
Interactive light‑and‑sound toys,-1
Learning basic coding for medical image processing,-1
Visiting Hill Country Wineries,-1
interactive push‑toy,-1
Map drawing,-1
Teaching Vietnamese language classes (occasionally),31
Walking in Flushing Meadows–Corona Park,-1
Volunteer electrical safety teaching,-1
Spending time with close family,-1
Mardi Gras and jazz festivals,-1
Organizing bookshelves,34
Flamenco Dancing,-1
Traveling within California,92
Sketching technical diagrams,27
Learning green cleaning techniques online,5
Being read to by family members,-1
pretend play with tool kits,59
watching maritime documentaries,-1
Hula dancing and ukulele music,-1
mindfulness walking,-1
Gardening (xeriscaping),44
Organizing farm‑to‑table potlucks and workshops,25
Playing Minecraft on a tablet,-1
Attending Minnesota Vikings and Timberwolves games,97
InfoSec Meetups and Mentoring,-1
Attending Phoenix Suns games,97
Volunteering as arts center usher,81
feeding goldfish,-1
Simple cause‑and‑effect games,-1
Playing Texas Hold ’Em with a small group of friends,-1
Road Trips around Wisconsin,92
Community pot‑luck events,25
Volunteering Teaching Python,82
Bilingual lullabies,43
Gardening and garden swap events,44
County baseball games,-1
4-H Fair Judging,-1
Participating in truck driver community events and charity drives,-1
Collecting vintage art prints,61
Planned hiking with route mapping,-1
Observing nature sounds,54
Traveling to the Dominican Republic to visit family and explore heritage sites,92
Hiking in Cuyahoga Valley National Park,71
Sharing stories with grandchildren and youth,-1
Cocktail experimentation,45
Continuing Education in Psychology,-1
Participating in math competitions,102
hiking in the Everglades,71
tag,57
Learning Urdu calligraphy,0
Public speaking at industry conferences,91
Erie County Fair,98
Simple water play in a shallow basin,14
Baking and pastry crafting,22
Imitating facial expressions and sounds,24
Attending the Rawlins Rodeo,98
Small‑Group Open‑Mic Events,48
Classical lullabies,43
"playing quiet board games (e.g., chess)",-1
Minecraft eco‑building,3
stop‑motion video making,26
Electronics tinkering and custom LED projects,63
astrophotography,-1
playing with toy cars,84
Mindful sketching for stress relief,2
boat maintenance,-1
Color‑matching activities,-1
Audio‑Visual Gadget Exploration,-1
Playing with trains,84
Organizing neighborhood Art Walks,-1
Watching action movies,13
Car audio tinkering,63
Reading Arizona History,-1
Hiking in Prince George’s County,71
Maker Night at local workshop,-1
Creating and managing a personal Instagram portfolio,-1
Hiking the hills around Corozal,71
Performing with a traditional music ensemble,-1
coloring inside the lines,-1
Volunteering to teach drafting to youth,82
Hiking in the Ouachita Mountains,71
Cooking traditional Appalachian recipes,20
Local soccer pickup games,-1
Motorcycle maintenance projects,-1
Collecting and restoring vintage typewriters,61
Film camera restoration,77
Water play during baths,14
Following civil‑engineering journals,-1
Sandbox exploration,-1
Playing the recorder,65
Fourth of July fireworks,-1
Tech forums on GIS and drone tech,-1
Imitative play (copying gestures/words),24
Craft sessions,-1
watching classic Cuban films,13
Walking the boardwalk,69
Restoring classic Honduran pickup trucks,41
Playing cricket in a local league,1
Seniors technology club leadership,-1
Hiking (Middlesex Fells),71
Hiking Trails in Muskingum County,71
Volunteering for Cybersecurity Awareness Workshops,-1
Using kid-friendly coding apps,-1
DIY natural cleaning product experimentation,5
Walking the family dog,-1
Custom mechanical keyboard building,35
Late‑night drawing sessions,-1
Mentoring apprentices and teaching trade workshops,96
maker club activities,10
Creating art from reclaimed HVAC materials,-1
Hiking in Green Bay Dells State Park,71
Volunteering with Ecuadorian diaspora organizations,-1
Fishing with family,49
Horseback riding,-1
Motion graphics experiments,26
Playing the cuatro and singing,65
Experimental theater,-1
Long‑distance Running,29
Hiking in the Cumberland Plateau,71
Off‑road riding,-1
Exploring Sustainable Design Concepts,83
Exploring smartphone apps,99
Bug collecting,-1
Helping set a small family table,38
Hiking and trail exploration in the Matanuska‑Susitna region,71
Hawaiian language lessons,21
Volunteering teaching electronics to youth,82
Maker‑space prototyping,63
playing đàn tranh,-1
Journaling for mental health,2
African‑American textile art collection,51
Fishing on the Suwannee River,49
Spontaneous road trips along Florida’s coastline,-1
Reading Pacific Northwest history,51
simple cooking activities (stirring batter),-1
Retro computer collecting,40
Attending the Springfield State Fair,98
Seasonal cooking and sourdough baking,22
Playing tag,57
Volunteering (Mandarin Teaching for Preschoolers),82
Blogging about health-tech trends and pharmacy innovations,-1
Volunteering at local planetarium,81
Trail Hiking and Running (Mount Diablo),71
Creating TikTok art tutorials,8
Powwow and storytelling participation,-1
violin,-1
Gallery Hopping,-1
Learning advanced statistical methods as a hobby,-1
Participating in online creative coding communities,102
baking cupcakes,22
Hiking in the Laurel Highlands,71
pretend space explorer play,59
"helping with simple chores (arranging cutlery, wiping tables)",38
Blogging about Marine Life,-1
Online courses in data analysis,-1
walking along the San Antonio River Walk,79
welding custom art pieces,-1
Hiking in New Mexico outdoors,71
Caring for the family rabbit,50
Travel to study traditional healing practices,92
Gardening and Orchard Care,44
swing set,-1
Reading construction manuals,33
"Learning new languages (Spanish, English, basic French)",94
Exploring scenic drives on off-days,-1
Airshow attendance,-1
Detroit Tigers Fan,-1
Socializing at neighborhood bar,-1
dancing to tribal drum beats,95
Classic car appreciation,60
Hiking in Caprock Canyons,71
CrossFit/strength training,-1
Building and upgrading gaming PCs,35
playing tabla,36
Ukulele and Open‑Mic Performances,-1
making dumplings,-1
Craft brewery socializing,64
Church Outreach Treasurer,-1
Euro Truck Simulator 2,-1
Muay Thai,-1
Japanese tea ceremony,-1
Real Estate Conferences and Webinars,-1
deep‑sea fishing,17
Aquascaping,-1
Reading philosophy and sports technology literature,-1
letter writing,-1
Tool repair,58
kindergarten storytime,42
Short animated videos about building and tools,26
Building block play (sorting by color and size),-1
Walking with spouse,93
entrepreneurial meetups,75
Watching automotive and renewable energy documentaries,32
Herbal tincture crafting,-1
Volunteer hairstyling workshops for teens,-1
Volunteer bilingual translation for community newsletters,-1
Experimental Mixology,45
Hiking among the San Francisco Peaks,71
Running (5K Events),29
Reading historical fiction about industrial America,51
Exploring Cleveland Metroparks,-1
Beading bracelets,-1
Stained‑Glass Painting,-1
traveling for design scouting,-1
Watching Indiana Hoosiers basketball,-1
Snowmobiling,-1
watching colorful mobile,78
exploring Chicago murals,90
Exploring sustainable building practices,83
Exploring diverse neighborhoods in Chicago,89
Settlers of Catan,-1
Seasonal holiday decorating,-1
Participating in senior learning circles,102
Model train restoration,53
Collecting African‑American folk art,51
Hiking (Mauna Loa trails),71
Boston Red Sox fan,-1
Volunteer teaching metalworking,82
Half‑marathon training with a women’s running club,29
Cross‑country skiing,72
Hiking the Connecticut coast,71
drawing family scenes,-1
Cooking nostalgic dishes,20
Following Dallas Cowboys football,-1
hide-and-seek with peers,-1
Participating in Scottsdale Women's Club events,102
Senior gardening group,44
Participating in 4‑H club projects,102
tummy‑time exploration,-1
Listening to classic Spanish boleros and rancheras,43
Fantasy drawing,-1
Studying African diaspora history,51
Exploring experimental music and playing acoustic guitar,28
Hiking in Yakima County,71
Local food bank contributions,-1
Attending Symphonies,-1
Hiking the Superstition Mountains,71
Walking the Brandywine Trail for light exercise,69
watching educational shows about marine life and space,-1
Watching Spanish-language cartoons,-1
Attending Kentucky Derby events,-1
playground swing and climbing activities,-1
Journaling and guided breathing exercises,2
Sailing on the Merrimack River,23
Calligraphy of Uzbek script,0
Exploring historic DC neighborhoods,89
watching ranch activities,78
Writing blog posts on policing and social justice,-1
DIY electronic art installations,-1
Fitness bootcamps,-1
Lego building with mechanical focus,-1
DIY tractor repair,58
Building wooden kitchen tools,15
singing Korean children’s songs and movement games,30
Volunteering equipment repair for senior center,82
Companion visits for seniors,-1
Watercolor painting of astronomical subjects,-1
woodworking model buses,-1
Fishing on Tampa Bay,49
Morning hikes in the foothills,-1
Reading home-improvement and sustainability blogs,6
Ceramic plate painting,9
Building miniature models of industrial equipment,-1
Walking in the National Mall,68
"Online learning (graphic design, personal finance)",88
Collecting Tejano music,-1
Native American Storytelling,-1
Reading about diesel technology,-1
Drawing detailed pictures,27
Weekly drumming circle,-1
Running around Lake Mendota,-1
Participating in Southern Baptist church activities,102
Los Angeles Lakers Games,-1
"outdoor play (catching butterflies, sand play)",-1
observing daily routines,54
Fashion photography,67
Reading sports analytics literature,-1
Hiking Kettle Moraine State Forest,71
Stacking cups and blocks,85
Knitting in a church group,-1
Listening to world music and curating playlists,31
Hiking in the Niagara region,71
Songwriting,-1
Flag football,39
small-group storytelling around a campfire,47
Long solitary hikes in northern Minnesota woods,71
Active participation in local Catholic parish,102
Volunteering at a science museum (brain‑health workshops),81
playing in the park and chasing butterflies,-1
Walking her rescue cat,-1
Adult‑literacy workshop facilitation,-1
Virtual workshops on digital archiving,-1
Exploring safe household objects,-1
Sustainable materials research,-1
Bicycle and skateboard customization,73
Metal sculpting,-1
helping set the dinner table,38
Volunteer work with Community Emergency Response Team (CERT),-1
Exploring new ideas through online workshops,101
Playing piano quietly,-1
Traveling to dark‑sky locations for stargazing,-1
Dog‑sledding,-1
Participating in local gaming nights,102
Medication safety workshops,-1
NASCAR Fandom,-1
Pretend cooking,59
Creating TikTok Content on Art and Mental Health,8
fintech exploration,-1
IoT tinkering,63
Aircraft spotting,-1
Board books with vehicle/construction themes,37
Cryptic crosswords,-1
Lake Erie Shoreline Walks and Nature Photography,-1
Collecting Pokémon cards,61
trail mapping,-1
Cooking traditional German and Great Lakes seafood dishes,20
Road-Trip Travel Across Texas,92
Local low‑key coding meetup,-1
Mentoring pharmacy students,96
Retro Computing,40
"Learning new technology (smartphones, video calls)",104
Personal finance budgeting,-1
Agri‑Art Installations,-1
Snorkeling,17
Attending quiet literary events,-1
Interactive play with caregivers,84
Car tinkering (Subaru),63
Creative Writing Facilitation for Seniors,-1
Watching classic war movies,13
Finger‑painting,-1
Wood Inlay Art,-1
Small‑group book club (Mexican history),-1
Participating in labor‑rights community meetings,102
Helping with family farm chores,38
"YouTube learning (coding, graphic design, cooking)",88
Quiet solo play with plush toys,59
Volunteering as a crisis‑line listener,-1
Bonsai cultivation,44
Koi pond maintenance,-1
Exploring tactile textures and bright colors,-1
Reading railroad history,-1
Taking online courses on finance and emerging technologies,88
Scale model construction of piping systems,-1
Food‑pairing experiments,-1
Following green building podcasts,-1
Playing tribal drums with friends,95
Writing blog posts on advertising trends,-1
dance practice with friends,-1
Volunteer plumbing projects,-1
Traveling in Southeast Asia,92
watching bubbles,78
Creating playlists / music appreciation,-1
Guitar Building,-1
One‑on‑one math tutoring,-1
quiet solitary observation,-1
"Garden club participation (vegetable gardening, rose care)",44
Retro video games,40
Participating in Holland’s Dutch‑heritage festivals,-1
participating in garden competitions,102
Snowshoeing,-1
"Learning about new technologies (tablet, smart home)",104
Lakeland Strawberry Festival,-1
Reading chapter-book series and keeping a reading log,-1
Visiting parks and zoo,-1
Traveling with spouse,93
Fishing at Matagorda Bay,49
riding tricycle,73
Playing cajón,-1
playing tag and racing,57
Exploring contemporary Korean cinema,4
Hiking Koʻolau ridge and volcanic trails,71
Imaginative play with friends,-1
Reading technical and renewable‑energy publications,33
Participating in online art communities,102
Maintaining his 1965 Chevrolet pickup truck,41
DIY Crafting for Cultural Celebrations,-1
Planning Weekend Trips to Natural Reserves,-1
Intergenerational reading programs,-1
Social media promotion,-1
County‑fair arts and crafts,-1
Organizing donation drives,-1
Photography of Lake Michigan sunsets,74
Playing Cuban tres,-1
Yoga and Mind‑Body Workshops,-1
Colorful stacking rings,85
Traveling to Vietnam,92
Reading Progressive Education and Social Justice Books,-1
Philadelphia Eagles fandom,-1
Pickleball tournaments,12
Testing and observing mechanical toys,-1
"Hiking (Umstead State Park, Eno River)",71
Playing bridge and canasta,36
Playing guitar and participating in Mariachi gatherings,-1
Participating in community art and philosophy talks,102
Coffee cupping,-1
Learning Spanish to assist diverse clientele,-1
Hiking in the Pocono Mountains,71
Morning dog walks and birdwatching,-1
Genealogy research into Mexican family heritage,-1
Streaming on Twitch,-1
tech trend research,-1
Sustainable living,-1
hiking Pololu Valley trails,71
Market trend monitoring,-1
Animated mobiles,99
Hiking in Kern County trails,71
