canonical,variations
Beach volleyball,"['Playing volleyball', 'Beach volleyball']"
Spanish‑language book club,['Spanish‑language book club']
"Exploring backyard nature (insects, birds)","['Exploring backyard nature (insects, birds)']"
Singing,['Singing']
sketching,"['birdwatching', 'Birdwatching', 'Bird watching', 'sketching', 'bird watching', 'Sketching']"
photography (sunsets and work sites),['photography (sunsets and work sites)']
ATV off‑road riding,['ATV off‑road riding']
Philosophy study,"['Reading Philosophy', 'Philosophy study']"
Arts and crafts,['Arts and crafts']
Tech industry meetups,['Tech industry meetups']
Baking,"['Reading', 'Baking', 'surfing', 'Dancing', 'Painting', 'Camping', 'Knitting', 'cooking', 'Surfing', 'Drawing', 'Cooking', 'knitting', 'Hunting', 'Quilting', 'hiking', 'quilting', 'Hiking', 'Swimming']"
Volunteer coding tutoring for youth,['Volunteer coding tutoring for youth']
watching ranch activities,['watching ranch activities']
playing with wooden blocks,"['Playing with building blocks', 'playing with wooden blocks']"
DIY woodworking projects,['DIY woodworking projects']
Reflective journaling,"['Reflective journaling', 'meditative journaling', 'Sketching and journaling', 'Poetry and journaling']"
Financial Literacy Volunteering,['Financial Literacy Volunteering']
exploring personal finance software,['exploring personal finance software']
pickup softball,"['pickup softball', 'Softball league']"
reading trade magazines,"['Reading technology magazines', 'reading trade magazines']"
Volunteering at community health fairs,"['Volunteering at community health fairs', 'Volunteer work at community health fairs']"
Scenic walks and bike rides on local trails,['Scenic walks and bike rides on local trails']
DIY electronics projects,['DIY electronics projects']
coloring and drawing,"['sketching and drawing', 'coloring and drawing', 'Sketching and drawing']"
Participating in local theater workshops,"['Participating in local theater workshops', 'Participating in community art workshops']"
Cooking experimental Indian fusion dishes,['Cooking experimental Indian fusion dishes']
Hip‑hop and Zumba dance classes,['Hip‑hop and Zumba dance classes']
playing bingo,"['Guitar playing', 'playing bridge', 'playing bingo']"
Reading picture books before bedtime,['Reading picture books before bedtime']
Meditation,['Meditation']
Sustainable‑living workshops,['Sustainable‑living workshops']
Board books with vehicle/construction themes,['Board books with vehicle/construction themes']
Listening to acoustic and country music,['Listening to acoustic and country music']
"Podcast listening (technology, design, art)","['Podcast listening (technology, design, art)']"
Volunteer computing instructor,['Volunteer computing instructor']
Reading psychology and self‑help books,"['Reading self‑help and productivity books', 'Reading psychology and self‑help books']"
simple cooking activities (stirring batter),['simple cooking activities (stirring batter)']
Line dancing,"['Salsa dancing', 'Line dancing']"
tactile play with textured toys,['tactile play with textured toys']
backyard nature walks,"['backyard nature walks', 'observing nature walks']"
listening to R&B and hip‑hop,"['Listening to jazz and hip‑hop', 'listening to R&B and hip‑hop']"
nature walking,"['nature walking', 'Walking in nature']"
art club participation,"['theater club participation', 'Book Club Participation', 'Hackathon participation', 'Book club participation', 'art club participation']"
Playing at the playground,"['Playing at the playground', 'Group games at the playground']"
attending art and craft fairs,"['Attending art fairs and powwows', 'attending art and craft fairs']"
Hiking in local parks,"['Walking in local parks', 'Hiking in nearby parks', 'Hiking in local parks']"
exploring music and creating playlists,"['Listening to world music and curating playlists', 'exploring music and creating playlists']"
Indoor rock climbing,['Indoor rock climbing']
Listening to science podcasts,['Listening to science podcasts']
Reading picture books,"['Reading picture books', 'exploring picture books']"
Participating in cultural dance groups,"['Participating in cultural dance groups', 'Participating in local cultural festivals']"
Cooking family meals,['Cooking family meals']
reading graphic novels,"['reading graphic novels and poetry', 'reading graphic novels', 'Reading graphic novels and sci‑fi', 'Reading graphic novels']"
Volunteer Computer Literacy Instruction,['Volunteer Computer Literacy Instruction']
