canonical_hobby,merged_group
Reading contemporary literature and art theory,"Reading contemporary literature and art theory, Reading Contemporary Art and History, Reading art history and contemporary art books, Reading contemporary fiction and art theory, reading philosophy and art theory, Reading Contemporary Art Theory, Reading modern art literature, Reading philosophy and contemporary art literature, Reading (philosophy, art theory), Reading art theory and philosophy, Exploring contemporary art theory, Reading philosophy and modern art literature, Reading art theory, philosophy, and classic literature, Reading contemporary fiction and art history, Reading literature and art theory, Reading Contemporary Art, Reading art history and contemporary fiction, Reading Contemporary Fiction & Art Theory, Reading art history and contemporary literature, Reading art history and contemporary theory, reading contemporary philosophy and art theory"
"Reading Non-Fiction (History, Self-Improvement)","Reading Non-Fiction (History, Self-Improvement), Reading non-fiction (philosophy, art history, tech), Reading non-fiction (DIY, history), Reading historical non‑fiction, Reading non‑fiction (psychology, economics, personal development), Reading (non-fiction, business, history), Reading non‑fiction (medicine, psychology, self‑improvement), Reading (fiction and non‑fiction), Reading non‑fiction (business, philosophy, art history), reading historical non-fiction, Reading non-fiction (art history, psychology, technology), Reading non‑fiction (science & history), Reading (historical fiction & science non‑fiction), Reading non-fiction (business, self‑improvement), Reading non-fiction (technology, American history), Reading Historical Non-Fiction, Reading (Historical Fiction, Education Non-Fiction), Reading non-fiction (medicine, history, science-fiction), Reading non-fiction (history, finance, self‑help), Reading non-fiction (technology, history, self‑help), Reading historical non-fiction, reading (historical fiction, memoirs, self‑help), Non‑Fiction History Reading, Reading Practical Non-Fiction, Reading Non-Fiction, Reading non-fiction (science and history), Non‑fiction reading (technology, psychology, self‑improvement), Reading non-fiction, Reading Historical Non‑Fiction, Reading non-fiction (business, self‑improvement, science), Reading non‑fiction (history, technology), Reading (Historical Fiction & Educational Non-Fiction), Reading (non-fiction, history, design), Reading non‑fiction (history, nature), Reading non‑fiction, Reading non-fiction (engineering, history), Reading historical fiction and non-fiction, Reading Non‑fiction, reading non-fiction (leadership, economics, tech), Reading (non-fiction), Reading (non-fiction, history), Reading non-fiction (history, self‑help), reading non‑fiction (engineering, astronomy, local history), Reading (fiction & non-fiction), Reading non‑fiction (engineering, history), Reading science-fiction and historical non-fiction, reading historical non‑fiction, Reading non-fiction (history, productivity), Reading Historical Non‑fiction, Reading (Non‑Fiction & History), Reading non-fiction (business, self-improvement), Reading sci-fi and historical non-fiction, Reading Historical Non-fiction, Reading Non-fiction, Reading non‑fiction (science, psychology, self‑development), Reading non‑fiction (business, technology, history), Reading non-fiction (leadership, psychology, business), Reading non-fiction (history, engineering), Reading non‑fiction (technology, history), Reading (fiction and non-fiction)"
LEGO Technic building,"LEGO Technic building, LEGO building, LEGO building (especially Technic sets), Lego building, LEGO Technic and robotics kit building, LEGO building and engineering, LEGO Technic model building, LEGO architecture building, LEGO Building, LEGO building and design"
Museum docent work,"Museum docent work, Museum Docenting, Museum docent volunteer work"
Attending Art Exhibitions,"Attending Art Exhibitions, art exhibitions, Attending art exhibitions and theater performances, Attending local art exhibits, Art Exhibitions, Contemporary Art Exhibition Visits, attending local sculpture exhibitions, Art exhibitions, visiting art galleries and museums, visiting art museums, Attending art galleries and museum exhibitions, Attending art exhibitions and community theater, Attending local art exhibitions, Visiting art exhibitions, Visiting Art Museums, Attending art exhibits, Attending local art galleries and museums, Art exhibition visits, Visiting art exhibits and museums, Attending local art exhibitions and museum tours, Attending art galleries, Visiting art exhibits, Visiting art galleries/museums, Visiting Local Art Exhibits, Visiting Art Exhibits, Visiting local art exhibitions, Visiting art galleries and exhibitions, Visiting local art galleries and museum exhibitions, Attending art festivals and exhibitions, Visiting local art galleries and exhibitions, Attending Small‑Scale Art Exhibitions, Attending art galleries and museum events, attending local art exhibitions, Visiting art galleries and museum exhibitions, Visiting art museums and galleries, Contemporary art exhibitions, Attending museum exhibitions and theater, Art Exhibition Visits, Attending local art exhibitions and lectures, Attending art exhibitions and film festivals, Attending small art exhibitions and museum talks, Attending local art galleries, Attending intimate art exhibitions, Attending Art Galleries, attending museum exhibitions, visiting art museums and galleries, Attending Local Art Exhibitions, Attending art museum exhibitions and local gallery openings, Visiting art exhibitions and theater, Visiting art museums, Visiting Art Exhibitions, Attending local art exhibitions and gallery openings, Attending metal art exhibitions, Visiting art galleries and museums, Attending art exhibitions, Visiting Art Galleries and Museums, Visiting Art Museums and Galleries"
Reading American history and literary memoirs,"Reading American history and literary memoirs, Reading historical fiction and memoirs, Reading (historical fiction, memoirs), reading historical fiction and memoirs, reading historical nonfiction and memoirs, Reading historical novels and memoirs, Reading historical nonfiction (American West), Reading historical fiction and African American memoirs"
Beachcombing and shell collecting,"Beachcombing and shell collecting, Beachcombing for shells, shell collecting at the beach, sand and shell collecting, beachcombing and shell collecting, Beach walking and shell collecting, Beach walks and shell collecting, beach walks and shell collecting, Collecting shells at the beach"
Historical society lectures,"Historical society lectures, Attending historical lectures, Historical lectures"
Listening to jazz and indie music,"Listening to jazz and indie music, Listening to indie and experimental music, Listening to instrumental jazz and hip‑hop, Listening to indie music, Listening to music (classic rock, jazz), Listening to indie and alternative music, Listening to music (indie rock, hip‑hop, pop), Listening to jazz and classic rock, listening to indie/instrumental music, Jazz/Folk Music Listening, Indie music listening, listening to classical and jazz music, Listening to indie/alternative music, Listening to jazz music, Listening to music (jazz, hip‑hop, soul), Listening to jazz, listening to jazz and hip‑hop, Listening to indie/folk music, Listening to jazz, soul, and hip‑hop, Listening to jazz and blues music, Listening to Latin jazz and indie music, Listening to jazz and soul music, Classical and jazz music listening, Listening to jazz and instrumental music, Listening to Jazz, Listening to indie and classic rock music, Listening to jazz and folk music, Listening to classical music and jazz, Listening to indie and classic rock, listening to music (jazz, hip‑hop), Listening to Classical and Jazz Music, Listening to folk/indie music, Listening to Jazz and Hip-Hop, listening to indie/alternative music, Listening to classical and jazz music, Listening to indie & ambient music, Listening to indie and world music, listening to jazz and classic rock, listening to jazz and blues music, Listening to ambient/indie music, Listening to indie folk and Latin jazz, Listening to jazz/neo‑soul/hip‑hop, listening to instrumental jazz and hip‑hop, Listening to classic rock and jazz, Listening to pop and indie music, Listening to jazz and classical music, listening to music (indie, fusion), Jazz music listening, Listening to indie folk music, Listening to Jazz, Soul, and Hip-Hop, Listening to hip‑hop and jazz, Listening to Jazz and Folk Music, Listening to jazz and classic rock music, Listening to folk and indie music, Indie Music Listening, listening to indie music, Listening to Indie Music, Listening to jazz and hip‑hop, Listening to jazz, blues, and hip‑hop"
Road photography,"Road photography, Street photography, Street Photography, street photography"
